X,Y,OBJECTID,NAME,LINES,ATCOCODE,MODES,ACCESSIBILITY,NIGHT_TUBE,NETWORK,DATASET_LAST_UPDATED,FULL_NAME
531052.3817,175428.6555,186,Brixton,Victoria,940GZZLUBXN,tube,Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Brixton station
529670.6464,178332.5964,187,Pimlico,Victoria,940GZZLUPCO,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Pimlico station
530336.7953,177973.004799999,188,Vauxhall,Victoria,940GZZLUVXL,tube,Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Vauxhall station
529248.7448,182266.0339,189,Warren Street,"Northern, Victoria",940GZZLUWRR,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Warren Street station
550293.9749,185030.270500001,190,Dagenham East,District,940GZZLUDGE,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Dagenham East station
552542.0054,185716.105799999,191,Elm Park,District,940GZZLUEPK,"bus, tube",Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Elm Park station
553944.498,186240.2941,192,Hornchurch,District,940GZZLUHCH,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Hornchurch station
555088.411,186770.1083,193,Upminster Bridge,District,940GZZLUUPB,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Upminster Bridge station
523197.0859,180064.2324,194,Shepherd's Bush Market,"Hammersmith & City, Circle",940GZZLUSBM,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Shepherd's Bush Market station
523183.913,179607.8456,195,Goldhawk Road,"Hammersmith & City, Circle",940GZZLUGHK,"bus, tube",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Goldhawk Road station
523762.9916,180897.8333,196,Latimer Road,"Hammersmith & City, Circle",940GZZLULRD,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Latimer Road station
524234.8749,181339.0615,197,Ladbroke Grove,"Hammersmith & City, Circle",940GZZLULAD,"bus, tube",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Ladbroke Grove station
525833.8943,181570.6391,198,Royal Oak,"Hammersmith & City, Circle",940GZZLURYO,"bus, tube",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Royal Oak station
525534.3012,178551.8071,199,Earl's Court,"District, Piccadilly",940GZZLUECT,"tube, bus",Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Earl's Court station
