station,lon,lat,Annualised
victoria,-0.1430892898009483,51.496400978592625,60054143.9863389
walthamstow central,-0.0215170203946601,51.58311960662003,12876597.9992994
walthamstow queens road,-0.02378219567489105,51.581522821431186,1438316.20075119
wandsworth road,-0.13845067788013343,51.46996132055896,736039.420004487
wanstead,0.02862067776527046,51.57560161289603,1899588.24494686
wanstead park,0.025725287059554534,51.55180207086442,1614371.15982739
wapping,-0.055940503522284815,51.50437832706214,2119551.97279299
warren street,-0.13834177714005547,51.524527123997764,14156364.8953616
warwick avenue,-0.18360675558678705,51.523198862105225,3000848.0432408
waterloo,-0.11442663408154648,51.50342525720376,74142576.3871056
watford,-0.4174120635262017,51.65748010048808,1627721.37103488
watford high street,-0.39189302660960923,51.65252894678297,1273984.30352859
watford junction,-0.39584223366363064,51.66323381472627,6562411.20315591
wembley central,-0.2968265595489338,51.55228164027704,4730172.54549695
wembley park,-0.28005006150968614,51.56376083873252,15833467.4085717
west acton,-0.2809538703054756,51.517980197246935,1063715.60980583
west brompton,-0.19557175970385998,51.487279564113926,4863990.98728744
west croydon,-0.10181701930490195,51.37928815060289,3867074.97573348
west drayton,-0.47175014048199965,51.50988826675666,3603198.41414055
west ealing,-0.3211587871947293,51.51347049215326,2938483.37080976
west finchley,-0.1883426849145049,51.60948689407504,1308037.14536082
west ham,0.004282725845968093,51.528279231688806,5256149.73178939
west hampstead,-0.19016960275566852,51.54680191570396,12437637.25463124
west harrow,-0.3532902802999659,51.57956661616709,1170331.47057132
west india quay,-0.02020481460586855,51.50748394840343,2601411.99089059
west kensington,-0.20545700029973243,51.49079055508212,3821904.43625376
west ruislip,-0.43764707604605585,51.56962926058854,1418508.28657977
west silvertown,0.022316927346814435,51.50289292553245,2215978.98893774
westbourne park,-0.20115293263288997,51.52092006250626,3751528.36917971
westferry,-0.026919556502256532,51.50950359754111,4203084.31745401
westminster,-0.12565865262198087,51.5009642958388,18784038.1681997
white city,-0.22446214525403546,51.5122152625013,7832624.79037052
white hart lane,-0.07102841136674827,51.60504655709698,1774121.08752898
whitechapel,-0.06076871394741355,51.51953209733413,17514494.8379957
willesden green,-0.22271672855408045,51.549372414541885,5560076.64186043
willesden junction,-0.24457316031635964,51.532403751974165,4414593.65086531
wimbledon,-0.2065150560922177,51.42143496760066,16668193.0538757
wimbledon park,-0.19908634010842735,51.434055248289106,1840771.93032568
wood green,-0.10985901912398979,51.597471465987304,8614135.32034455
wood lane,-0.22358983250307196,51.51014064093162,4980038.19662133
wood street,-0.0021437307542089916,51.58673302867728,2168461.31519468
woodford,0.03401185348011002,51.60686112070409,4401099.28110269
woodgrange park,0.04451579678970055,51.54921050563454,1037283.6644304
woodside park,-0.1855114363532535,51.61808637995583,3096181.65646093
woolwich,0.07211914694673671,51.491667870973096,13554797.9577623
woolwich arsenal,0.06886448006159145,51.48998499909447,6455998.39104272
